Ciclo,Hum Suelo (),Temp Suelo (C)
648,63,23.312
649,63,23.375
650,63,23.375
651,63,23.375
652,63,23.438
653,63,23.438
654,63,23.438
655,63,23.438
656,63,23.500
657,63,23.500
658,63,23.500
659,63,23.500
660,63,23.500
661,63,23.562
662,63,23.562
663,63,23.625
664,63,23.625
665,63,23.625
666,63,23.625
667,63,23.625
668,63,23.625
669,63,23.688
670,63,23.750
671,63,23.750
672,63,23.750
673,63,23.750
674,63,23.750
675,63,23.812
676,63,23.812
677,63,23.812
678,63,23.812
679,64,23.875
680,64,23.875
681,63,23.875
682,64,23.875
683,63,23.875
684,64,23.875
685,64,23.938
686,63,23.938
687,63,24.000
688,64,24.000
689,64,24.000
690,64,24.000
691,64,24.000
692,64,24.062
693,64,24.062
694,64,24.062
695,64,24.062
696,64,24.125
697,64,24.125
698,64,24.125
699,64,24.125
700,64,24.125
701,64,24.188
702,64,24.188
703,64,24.188
704,64,24.188
705,64,24.188
706,64,24.250
707,64,24.250
708,64,24.250
709,64,24.250
710,64,24.312
711,64,24.312
712,64,24.375
713,63,24.312
714,64,24.375
715,64,24.375
716,64,24.375
717,64,24.438
718,63,24.438
719,64,24.438
720,64,24.438
721,64,24.500
722,63,24.500
723,63,24.500
724,63,24.562
725,63,24.562
726,63,24.562
727,63,24.625
728,63,24.625
729,63,24.625
730,63,24.625
731,63,24.688
732,63,24.688
733,63,24.688
734,63,24.688
735,63,24.688
736,63,24.750
737,63,24.750
738,63,24.750
739,63,24.750
740,63,24.812
741,63,24.812
742,63,24.875
743,63,24.875
744,63,24.875
745,63,24.875
746,63,24.938
747,63,24.875
748,63,24.938
749,63,24.938
750,63,24.938
751,63,25.000
752,63,25.000
753,63,25.000
754,63,25.000
755,63,25.062
756,63,25.062
757,63,25.062
758,63,25.062
759,63,25.125
760,63,25.062
761,63,25.125
762,63,25.125
763,63,25.125
764,63,25.188
765,63,25.125
766,63,25.188
767,63,25.188
768,63,25.250
769,63,25.188
770,63,25.250
771,63,25.250
772,63,25.250
773,63,25.250
774,63,25.250
775,63,25.312
776,63,25.312
777,63,25.312
778,63,25.312
779,63,25.312
780,63,25.312
781,63,25.375
782,63,25.375
783,63,25.375
784,63,25.375
785,63,25.438
786,63,25.438
787,63,25.438
788,63,25.438
789,63,25.438
790,63,25.500
791,63,25.500
792,63,25.500
793,63,25.500
794,63,25.562
795,64,25.562
796,63,25.500
797,63,25.562
798,64,25.562
799,64,25.562
800,64,25.562
801,64,25.562
802,64,25.562
803,64,25.625
804,64,25.562
805,65,25.562
806,65,25.562
807,65,25.625
808,65,25.562
809,66,25.562
810,66,25.562
811,66,25.562
812,66,25.562
813,66,25.562
814,66,25.562
